TAG,Value,Time
R,66107,23693
B,66109,87
I,66111,36074
B,66114,138
R,66116,23701
B,66119,104
I,66121,36172
B,66123,149
R,66126,23714
B,66128,85
I,66130,36145
B,66133,153
R,66135,23728
B,66137,97
I,66140,36115
B,66142,148
R,66145,23730
B,66147,87
I,66149,36151
B,66152,155
R,66154,23689
B,66156,96
I,66159,36149
B,66161,144
R,66163,23681
B,66166,95
I,66168,36136
B,66171,153
R,66173,23702
B,66175,90
I,66178,36144
B,66180,136
R,66182,23708
B,66185,107
I,66187,36171
B,66190,154
R,66192,23690
B,66194,89
I,66197,36134
B,66199,152
R,66201,23734
B,66204,102
I,66206,36169
B,66208,148
R,66211,23665
B,66213,85
I,66216,36134
B,66218,162
R,66220,23733
B,66223,94
I,66225,36148
B,66227,146
R,66230,23670
B,66232,88
I,66234,36139
B,66237,159
R,66239,23750
B,66242,97
I,66244,36140
B,66246,137
R,66249,23714
B,66251,106
I,66253,36218
B,66256,154
R,66258,23706
B,66260,91
I,66263,36138
B,66265,150
R,66268,23707
B,66270,101
I,66272,36217
B,66275,148
R,66277,23742
B,66279,85
I,66282,36148
B,66284,157
R,66287,23720
B,66289,94
I,66291,36145
B,66294,147
R,66296,23711
B,66298,85
I,66301,36156
B,66303,155
R,66305,23690
B,66308,95
I,66310,36126
B,66313,136
R,66315,23685
B,66317,100
I,66320,36204
B,66322,152
R,66324,23730
B,66327,92
I,66329,36155
B,66331,143
R,66334,23690
B,66336,108
I,66339,36220
B,66341,149
R,66343,23696
B,66346,84
I,66348,36154
B,66350,156
R,66353,23748
B,66355,93
I,66358,36155
B,66360,155
R,66362,23695
B,66365,89
I,66367,36152
B,66369,161
R,66372,23707
B,66374,96
I,66376,36176
B,66379,149
R,66381,23703
B,66384,103
I,66386,36178
B,66388,146
R,66391,23657
B,66393,91
I,66395,36143
B,66398,146
R,66400,23714
B,66403,109
I,66405,36191
B,66407,145
R,66410,23692
B,66412,86
I,66414,36140
B,66417,151
R,66419,23723
B,66421,94
I,66424,36179
B,66426,145
R,66429,23677
B,66431,90
I,66433,36167
B,66436,163
R,66438,23727
B,66440,94
I,66443,36155
B,66445,145
R,66447,23693
B,66450,104
I,66452,36201
B,66455,151
R,66457,23696
B,66459,90
I,66462,36131
B,66464,139
R,66466,23678
B,66469,107
I,66471,36152
B,66474,145
R,66476,23665
B,66478,86
I,66481,36087
B,66483,161
R,66485,23659
B,66488,97
I,66490,36075
B,66492,142
R,66495,23638
B,66497,82
I,66500,36062
B,66502,166
R,66504,23641
B,66507,89
I,66509,36018
B,66511,144
R,66514,23647
B,66516,97
I,66518,36030
B,66521,149
R,66523,23605
B,66526,90
I,66528,36024
B,66530,137
R,66533,23620
B,66535,103
I,66537,36107
B,66540,146
R,66542,23605
B,66545,90
I,66547,36050
B,66549,145
R,66552,23624
B,66554,99
I,66556,36041
B,66559,147
R,66561,23599
B,66563,81
I,66566,36038
B,66568,153
R,66571,23586
B,66573,91
I,66575,36063
B,66578,140
R,66580,23588
B,66582,94
I,66585,36095
B,66587,151
R,66589,23596
B,66592,89
I,66594,36066
B,66597,136
R,66599,23623
B,66601,103
I,66604,36107
B,66606,147
R,66608,23616
B,66611,91
I,66613,36053
B,66616,150
R,66618,23647
B,66620,104
I,66623,36124
B,66625,151
R,66627,23607
B,66630,87
I,66632,36094
B,66634,156
R,66637,23648
B,66639,89
I,66642,36095
B,66644,148
R,66646,23630
B,66649,92
I,66651,36131
B,66653,158
R,66656,23664
B,66658,92
I,66660,36081
B,66663,139
R,66665,23649
B,66668,98
I,66670,36084
B,66672,145
R,66675,23633
B,66677,92
I,66679,36075
B,66682,143
R,66684,23681
B,66687,102
I,66689,36122
B,66691,144
R,66694,23643
B,66696,83
I,66698,36121
B,66701,159
R,66703,23676
B,66705,94
I,66708,36109
B,66710,146
R,66713,23628
B,66715,92
I,66717,36116
B,66720,156
R,66722,23679
B,66724,89
I,66727,36129
B,66729,135
R,66731,23635
B,66734,99
I,66736,36097
B,66739,142
R,66741,23632
B,66743,88
I,66746,36074
B,66748,151
R,66750,23587
B,66753,106
I,66755,36117
B,66758,145
R,66760,23610
B,66762,83
I,66765,36075
B,66767,159
R,66769,23647
B,66772,92
I,66774,36068
B,66776,144
R,66779,23589
B,66781,83
I,66784,36075
B,66786,161
R,66788,23653
B,66791,94
I,66793,36080
B,66795,144
R,66798,23601
B,66800,95
I,66802,36131
B,66805,149
R,66807,23624
B,66810,86
I,66812,36072
B,66814,142
R,66817,23606
B,66819,108
I,66821,36108
B,66824,136
R,66826,23592
B,66829,79
I,66831,36048
B,66833,157
R,66836,23597
B,66838,92
I,66840,36084
B,66843,139
R,66845,23573
B,66847,88
I,66850,36054
B,66852,161
R,66855,23605
B,66857,90
I,66859,36045
B,66862,137
R,66864,23566
B,66866,98
I,66869,36109
B,66871,152
R,66873,23643
B,66876,87
I,66878,36059
B,66881,130
R,66883,23567
B,66885,105
I,66888,36149
B,66890,143
R,66892,23637
B,66895,82
I,66897,36064
B,66900,147
R,66902,23644
B,66904,104
I,66907,36107
B,66909,148
R,66911,23601
B,66914,88
I,66916,36075
B,66918,164
R,66921,23663
B,66923,93
I,66926,36078
B,66928,142
R,66930,23576
B,66933,96
I,66935,36116
B,66937,148
R,66940,23588
B,66942,87
I,66944,36081
B,66947,139
R,66949,23580
B,66952,106
I,66954,36095
B,66956,142
R,66959,23600
B,66961,86
I,66963,36062
B,66966,153
R,66968,23618
B,66971,108
I,66973,36099
B,66975,145
R,66978,23587
B,66980,81
I,66982,36057
B,66985,162
R,66987,23619
B,66989,92
I,66992,36072
B,66994,142
R,66997,23559
B,66999,96
I,67001,36051
B,67004,154
R,67006,23575
B,67008,89
I,67011,36053
B,67013,129
R,67015,23596
B,67018,104
I,67020,36090
B,67023,140
R,67025,23579
B,67027,84
I,67030,36036
B,67032,142
R,67034,23555
B,67037,110
I,67039,36149
B,67042,143
R,67044,23580
B,67046,81
I,67049,36068
B,67051,155
R,67053,23608
B,67056,90
I,67058,36076
B,67060,135
R,67063,23583
B,67065,88
I,67068,36067
B,67070,160
R,67072,23564
B,67075,88
I,67077,36024
B,67079,133
R,67082,23547
B,67084,106
I,67087,36134
B,67089,145
R,67091,23540
B,67094,83
I,67096,36044
B,67098,140
R,67101,23579
B,67103,110
I,67105,36065
B,67108,146
R,67110,23535
B,67113,82
I,67115,36030
B,67117,159
R,67120,23576
B,67122,97
I,67124,36098
B,67127,141
R,67129,23562
B,67131,88
I,67134,36109
B,67136,164
R,67139,23600
B,67141,89
I,67143,36071
B,67146,134
R,67148,23581
B,67150,98
I,67153,36136
B,67155,145
R,67158,23527
B,67160,82
I,67162,36082
B,67165,146
R,67167,23601
B,67169,111
I,67172,36168
B,67174,145
R,67176,23571
B,67179,79
I,67181,36043
B,67184,156
R,67186,23569
B,67188,97
I,67191,36119
B,67193,142
R,67195,23533
B,67198,84
I,67200,36090
B,67203,170
R,67205,23601
B,67207,92
I,67210,36079
B,67212,140
R,67214,23578
B,67217,103
I,67219,36142
B,67221,150
R,67224,23531
B,67226,85
I,67229,36073
B,67231,142
R,67233,23552
B,67236,110
I,67238,36136
B,67240,146
R,67243,23577
B,67245,73
I,67247,36063
B,67250,161
R,67252,23555
B,67255,98
I,67257,36047
B,67259,142
R,67262,23503
B,67264,79
I,67266,36063
B,67269,157
R,67271,23588
B,67274,94
I,67276,36072
B,67278,135
R,67281,23565
B,67283,94
I,67285,36099
B,67288,154
R,67290,23603
B,67292,86
I,67295,36074
B,67297,136
R,67300,23549
B,67302,106
I,67304,36100
B,67307,144
R,67309,23529
B,67311,79
I,67314,35998
B,67316,149
R,67319,23579
B,67321,105
I,67323,36037
B,67326,142
R,67328,23466
B,67330,77
I,67333,35995
B,67335,165
R,67337,23478
B,67340,93
I,67342,35950
B,67345,135
R,67347,23475
B,67349,90
I,67352,35963
B,67354,158
R,67356,23520
B,67359,82
I,67361,35940
B,67363,132
R,67366,23473
B,67368,107
I,67371,35991
B,67373,140
R,67375,23430
B,67378,76
I,67380,35890
