TAG,Value,Time
R,47401,84741
B,19,84743
I,44662,84745
B,4252,84748
R,47337,84750
B,12,84752
I,44678,84754
B,4556,84757
R,47280,84759
B,16,84761
I,44771,84763
B,4585,84766
R,47260,84768
B,16,84770
I,44736,84772
B,4588,84775
R,47273,84777
B,28,84779
I,44675,84781
B,4588,84784
R,47302,84786
B,16,84788
I,44736,84790
B,4608,84793
R,47292,84795
B,19,84797
I,44742,84799
B,4556,84802
R,47212,84804
B,19,84806
I,44742,84808
B,4588,84811
R,47286,84813
B,25,84815
I,44758,84817
B,4592,84820
R,47328,84822
B,19,84824
I,44710,84826
B,4604,84829
R,47344,84831
B,16,84833
I,44700,84835
B,4566,84838
R,47392,84840
B,19,84842
I,44838,84844
B,4576,84847
R,47360,84849
B,16,84851
I,44825,84853
B,4585,84856
R,47296,84858
B,22,84860
I,44768,84862
B,4579,84865
R,47360,84867
B,19,84869
I,44822,84871
B,4601,84874
R,47369,84876
B,19,84878
I,44860,84880
B,4588,84883
R,47321,84885
B,22,84887
I,44864,84889
B,4588,84892
R,47312,84894
B,19,84896
I,44918,84898
B,4601,84901
R,47315,84903
B,16,84905
I,44896,84907
B,4595,84910
R,47366,84912
B,19,84914
I,44873,84916
B,4585,84919
R,47472,84921
B,19,84923
I,44931,84925
B,4598,84928
R,47462,84930
B,6,84932
I,44950,84934
B,4601,84937
R,47446,84939
B,16,84941
I,44876,84943
B,4585,84946
R,47459,84948
B,19,84950
I,44928,84952
B,4595,84955
R,47475,84957
B,12,84959
I,45027,84961
B,4608,84964
R,47433,84966
B,19,84968
I,45001,84970
B,4617,84973
R,47459,84975
B,16,84977
I,44976,84979
B,4614,84982
R,47520,84984
B,19,84986
I,45040,84988
B,4598,84991
R,47475,84993
B,12,84995
I,45116,84997
B,4592,85000
R,47398,85002
B,16,85004
I,45110,85006
B,4579,85009
R,47427,85011
B,19,85013
I,45126,85015
B,4611,85018
R,47462,85020
B,12,85022
I,45094,85024
B,4617,85027
R,47516,85029
B,16,85031
I,45049,85033
B,4579,85036
R,47542,85038
B,12,85040
I,45142,85042
B,4595,85045
R,47500,85047
B,16,85049
I,45171,85051
B,4617,85054
R,47571,85056
B,16,85058
I,45164,85060
B,4617,85063
R,47596,85065
B,16,85068
I,45142,85069
B,4640,85072
R,47590,85074
B,16,85077
I,45104,85078
B,4592,85081
R,47600,85083
B,6,85086
I,45104,85087
B,4601,85090
R,47545,85092
B,16,85094
I,45142,85096
B,4617,85099
R,47609,85101
B,9,85103
I,45200,85105
B,4624,85108
R,47568,85110
B,22,85112
I,45235,85114
B,4630,85117
R,47574,85119
B,16,85121
I,45286,85123
B,4611,85126
R,47520,85128
B,19,85130
I,45235,85132
B,4585,85135
R,47491,85137
B,19,85139
I,45289,85141
B,4598,85144
R,47539,85146
B,22,85148
I,45190,85150
B,4592,85153
R,47465,85155
B,0,85157
I,45072,85159
B,4601,85161
R,47360,85164
B,25,85166
I,44918,85168
B,4588,85170
R,47388,85173
B,19,85175
I,44806,85177
B,4576,85179
R,47312,85182
B,16,85184
I,44691,85186
B,4553,85188
R,47196,85191
B,22,85193
I,44579,85195
B,4553,85198
R,47081,85200
B,12,85202
I,44521,85204
B,4470,85207
R,47046,85209
B,19,85211
I,44441,85213
B,4275,85216
R,46992,85218
B,22,85220
I,44412,85222
B,4576,85225
R,47030,85227
B,16,85229
I,44464,85231
B,4569,85234
R,46998,85236
B,19,85238
I,44492,85240
B,4556,85243
R,46972,85245
B,16,85247
I,44444,85249
B,4553,85252
R,46992,85254
B,25,85256
I,44515,85258
B,4563,85261
R,47062,85263
B,16,85265
I,44467,85267
B,4547,85270
R,47040,85272
B,19,85274
I,44435,85276
B,4540,85279
R,47065,85281
B,51,85283
I,44473,85285
B,4569,85288
R,47020,85290
B,16,85292
I,44515,85294
B,4563,85297
R,47040,85299
B,44,85301
I,44464,85303
B,4531,85306
R,47123,85308
B,19,85310
I,44544,85312
B,4614,85315
R,47136,85317
B,25,85319
I,44608,85321
B,4572,85324
R,47136,85326
B,12,85328
I,44592,85330
B,4572,85333
R,47107,85335
B,19,85337
I,44694,85339
B,4572,85342
R,47078,85344
B,19,85346
I,44697,85348
B,4582,85351
R,47126,85353
B,32,85355
I,44643,85357
B,4576,85360
R,47180,85362
B,16,85364
I,44652,85366
B,4563,85369
R,47123,85371
B,9,85373
I,44678,85375
B,4582,85378
R,47251,85380
B,19,85382
I,44694,85384
B,4544,85387
R,47187,85389
B,12,85391
I,44678,85393
B,4579,85396
R,47177,85398
B,22,85400
I,44729,85402
B,4572,85405
R,47158,85407
B,22,85409
I,44726,85411
B,4576,85414
R,47276,85416
B,16,85418
I,44704,85420
B,4572,85423
R,47321,85425
B,12,85427
I,44793,85429
B,4569,85432
R,47308,85434
B,3,85436
I,44777,85438
B,4425,85441
R,47276,85443
B,19,85445
I,44752,85447
B,4294,85450
R,47251,85452
B,19,85454
I,44780,85456
B,4582,85459
R,47216,85461
B,19,85463
I,44889,85465
B,4560,85468
R,47225,85470
B,16,85472
I,44908,85474
B,4576,85477
R,47244,85479
B,22,85481
I,44809,85483
B,4579,85486
R,47299,85488
B,12,85490
I,44844,85492
B,4579,85495
R,47289,85497
B,28,85499
I,44819,85501
B,4560,85504
R,47190,85506
B,9,85508
I,44771,85510
B,4579,85512
R,47273,85515
B,16,85517
I,44745,85519
B,4569,85521
R,47305,85524
B,12,85526
I,44870,85528
B,4566,85530
R,47283,85533
B,12,85535
I,44886,85537
B,4579,85539
R,47228,85542
B,19,85544
I,44819,85546
B,4585,85549
R,47267,85551
B,12,85553
I,44854,85555
B,4486,85558
R,47340,85560
B,12,85562
I,44864,85564
B,4268,85567
R,47254,85569
B,19,85571
I,44912,85573
B,4579,85576
R,47238,85578
B,16,85580
I,44979,85582
B,4582,85585
R,47302,85587
B,16,85589
I,44963,85591
B,4592,85594
R,47356,85596
B,25,85598
I,44876,85600
B,4588,85603
R,47385,85605
B,16,85607
I,44969,85609
B,4579,85612
R,47382,85614
B,16,85616
I,44988,85618
B,4582,85621
R,47321,85623
B,16,85625
I,44976,85627
B,4595,85630
R,47347,85632
B,38,85634
I,44953,85636
B,4627,85639
R,47395,85641
B,12,85643
I,44953,85645
B,4601,85648
R,47395,85650
B,9,85652
I,44960,85654
B,4614,85656
R,47312,85659
B,16,85661
I,44953,85663
B,4595,85666
R,47388,85668
B,16,85670
I,45052,85672
B,4492,85675
R,47449,85677
B,16,85679
I,45065,85681
B,4284,85684
R,47372,85686
B,19,85688
I,45110,85690
B,4588,85693
R,47388,85695
B,12,85697
I,45164,85699
B,4576,85702
R,47459,85704
B,16,85706
I,45148,85708
B,4617,85711
R,47440,85713
B,19,85715
I,45072,85717
B,4588,85720
R,47440,85722
B,19,85724
I,45171,85726
B,4579,85729
R,47420,85731
B,12,85733
I,45155,85735
B,4595,85738
R,47385,85740
B,9,85742
I,45123,85744
B,4556,85746
R,47436,85749
B,19,85751
I,45126,85753
B,4582,85755
R,47488,85758
B,12,85760
I,45225,85762
B,4665,85764
R,47475,85767
B,19,85769
I,45184,85771
B,4617,85773
R,47478,85776
B,16,85778
I,45097,85780
B,4604,85783
R,47472,85785
B,16,85787
I,45232,85789
B,4492,85792
R,47497,85794
B,19,85796
I,45225,85798
B,4300,85801
R,47369,85803
B,25,85805
I,45241,85807
B,4608,85810
R,47472,85812
B,0,85814
I,45232,85816
B,4579,85818
R,47468,85821
B,16,85823
I,45251,85825
B,4620,85827
R,47513,85830
B,19,85832
I,45225,85834
B,4620,85836
R,47523,85839
B,44,85841
I,45209,85843
B,4608,85845
R,47548,85848
B,16,85850
I,45244,85852
B,4595,85854
R,47513,85857
B,19,85859
I,45308,85861
B,4608,85863
R,47472,85866
B,12,85868
I,45283,85870
B,4617,85872
R,47523,85875
B,12,85877
I,45318,85879
B,4620,85881
R,47564,85884
B,16,85886
I,45318,85888
B,4601,85890
R,47536,85893
B,19,85895
I,45302,85897
B,4592,85900
R,47529,85902
B,12,85904
I,45360,85906
B,4499,85909
R,47545,85911
B,22,85913
I,45363,85915
B,4297,85918
R,47513,85920
B,12,85922
I,45372,85924
B,4620,85927
R,47564,85929
B,16,85931
I,45392,85933
B,4608,85936
R,47606,85938
B,19,85940
I,45382,85942
B,4611,85945
R,47545,85947
B,0,85949
I,45312,85951
B,4585,85953
R,47619,85956
B,19,85958
I,45315,85960
B,4604,85962
R,47555,85965
B,25,85967
I,45337,85969
B,4585,85971
R,47484,85974
B,25,85976
I,45264,85978
B,4598,85980
R,47337,85983
B,19,85985
I,45059,85987
B,4588,85989
R,47350,85992
B,22,85994
I,44944,85996
B,4601,85998
R,47260,86001
B,16,86003
I,44835,86005
B,4592,86007
R,47132,86010
B,19,86012
I,44736,86014
B,4563,86017
R,47027,86019
B,22,86021
I,44700,86023
B,4454,86026
R,47024,86028
B,22,86030
I,44579,86032
B,4259,86035
R,47011,86037
B,19,86039
I,44540,86041
B,4569,86044
R,47024,86046
B,22,86048
I,44547,86050
B,4566,86053
R,47020,86055
B,12,86057
I,44569,86059
B,4537,86062
R,46950,86064
B,19,86066
I,44524,86068
B,4566,86071
R,47017,86073
B,64,86075
I,44560,86077
B,4576,86080
R,47056,86082
B,16,86084
I,44524,86086
B,4540,86089
R,47040,86091
B,0,86093
I,44579,86095
B,4560,86097
R,46998,86100
B,16,86102
I,44531,86104
B,4585,86106
R,47116,86109
B,12,86111
I,44614,86113
B,4572,86115
R,47107,86118
B,19,86120
I,44697,86122
B,4556,86124
R,47033,86127
B,25,86129
I,44688,86131
B,4553,86134
